,number,address,Lat,Lon,METRIC,jan,feb,mar,apr,maj,jun,jul,aug,sep,okt,nov,dec
0,10101-002:,"Parkgatan 3-5, Borlänge, Dalarna, Sverige",60.4878992,15.4285392,kWh,882,760,803,769,341,353,187,398,757,902,879,936
1,10101-004:,"Sturegränd 11, Borlänge, Dalarna, Sverige",60.4874161,15.4269063,kWh,978,865,958,918,999,881,926,897,774,976,951,967
2,10101-001:,"Sturegränd 1-9, Borlänge, Dalarna, Sverige",60.4879842,15.4280099,kWh,1950,1782,1858,1735,1759,1731,1731,1680,1616,1737,1754,1763
3,10101-003:,"Vasagatan 31-39, Borlänge, Dalarna, Sverige",60.4872652,15.4280399,kWh,1037,995,777,292,139,113,122,146,167,274,577,633
4,10102-001:,"Vasagatan 27, Borlänge, Dalarna, Sverige",60.4871156,15.4275776,kWh,4132,3613,3210,3167,3443,3765,3949,4249,3934,4282,4036,4313
5,10103-001:,"Vattugatan 9, Borlänge, Dalarna, Sverige",60.4862052,15.43651,kWh,1739,1329,1378,2359,2763,2672,2657,2713,2826,2905,2851,2298
7,10104-001:,"Dalagatan 8, Borlänge, Dalarna, Sverige",60.4863128,15.4374616,kWh,1383,1178,1156,1091,1339,1280,1017,1045,1029,1196,1235,1298
8,10107-001:,"Dalen 6, Borlänge, Dalarna, Sverige",60.4859939,15.4389749,kWh,1290,1222,1201,859,813,852,402,372,649,1003,1093,1221
9,10108-001:,"Dalen 4, Borlänge, Dalarna, Sverige",60.4860108,15.4380628,kWh,1291,1118,912,405,226,145,174,258,324,470,679,892
10,10109-001:,"Vattugatan 13 A-F, Borlänge, Dalarna, Sverige",60.4857855,15.4376203,kWh,2000,1748,1942,1963,1333,1234,1240,1248,1644,1811,1940,1980
11,10110-001:,"Dalagatan 5 A-B, Borlänge, Dalarna, Sverige",60.4863128,15.4374616,kWh,385,302,300,284,285,276,274,303,310,310,318,339
12,10111-004:,"Dalagatan 4 A-D, Borlänge, Dalarna, Sverige",60.4867394,15.4367636,kWh,53,42,45,45,47,40,45,49,51,53,52,52
13,10111-005:,"Dalagatan 6 A-D, Borlänge, Dalarna, Sverige",60.4865676,15.4370635,kWh,50,40,46,57,70,64,71,71,65,59,54,50
